From;To;Type;Through;start_x;start_y;stop_x;stop_y;adjacency_rule_name;Comment

#禁止通行区（阿里到印度）
1279;77;impassable;-1;-1;-1;-1;-1;;Himalayas
1279;3831;impassable;-1;-1;-1;-1;-1;;Himalayas
1279;2789;impassable;-1;-1;-1;-1;-1;;Himalayas
949;2789;impassable;-1;-1;-1;-1;-1;;Himalayas
949;2463;impassable;-1;-1;-1;-1;-1;;Himalayas
2789;4783;impassable;-1;-1;-1;-1;-1;;Himalayas
2789;4782;impassable;-1;-1;-1;-1;-1;;Himalayas
3831;4782;impassable;-1;-1;-1;-1;-1;;Himalayas
2463;4783;impassable;-1;-1;-1;-1;-1;;Himalayas

#禁止通行区（阿里到尼泊尔）
949;2473;impassable;-1;-1;-1;-1;-1;;Himalayas
1003;2473;impassable;-1;-1;-1;-1;-1;;Himalayas
3820;2473;impassable;-1;-1;-1;-1;-1;;Himalayas

#禁止通行区（日喀则到尼泊尔）
2705;2473;impassable;-1;-1;-1;-1;-1;;Himalayas
2705;1693;impassable;-1;-1;-1;-1;-1;;Himalayas
281;3914;impassable;-1;-1;-1;-1;-1;;Himalayas
2424;3914;impassable;-1;-1;-1;-1;-1;;Himalayas
2424;168;impassable;-1;-1;-1;-1;-1;;Himalayas

#禁止通行区（林芝到印度）
2714;177;impassable;-1;-1;-1;-1;-1;;Himalayas
3849;177;impassable;-1;-1;-1;-1;-1;;Himalayas
2129;1061;impassable;-1;-1;-1;-1;-1;;Himalayas
301;3117;impassable;-1;-1;-1;-1;-1;;Himalayas
2043;3117;impassable;-1;-1;-1;-1;-1;;Himalayas
3880;4756;impassable;-1;-1;-1;-1;-1;;Himalayas
12;282;impassable;-1;-1;-1;-1;-1;;Himalayas
12;2936;impassable;-1;-1;-1;-1;-1;;Himalayas

#禁止通行区（蒙古到兴安）
2275;600;impassable;-1;-1;-1;-1;-1;;Mongolia-Manchu
2275;2965;impassable;-1;-1;-1;-1;-1;;Mongolia-Manchu

#禁止通行区（锡林格勒到兴安）
1518;2965;impassable;-1;-1;-1;-1;-1;;Mongolia-Manchu
1518;186;impassable;-1;-1;-1;-1;-1;;Mongolia-Manchu
3508;186;impassable;-1;-1;-1;-1;-1;;Mongolia-Manchu
3508;2411;impassable;-1;-1;-1;-1;-1;;Mongolia-Manchu
1745;2411;impassable;-1;-1;-1;-1;-1;;Mongolia-Manchu

#禁止通行区（锡林格勒到赤峰）
1745;2093;impassable;-1;-1;-1;-1;-1;;Mongolia-Manchu
3145;2093;impassable;-1;-1;-1;-1;-1;;Mongolia-Manchu
3145;3108;impassable;-1;-1;-1;-1;-1;;Mongolia-Manchu
2783;3108;impassable;-1;-1;-1;-1;-1;;Mongolia-Manchu
2783;1800;impassable;-1;-1;-1;-1;-1;;Mongolia-Manchu
2783;1450;impassable;-1;-1;-1;-1;-1;;Mongolia-Manchu
2206;1450;impassable;-1;-1;-1;-1;-1;;Mongolia-Manchu
2206;2060;impassable;-1;-1;-1;-1;-1;;Mongolia-Manchu
1067;2060;impassable;-1;-1;-1;-1;-1;;Mongolia-Manchu
1067;1041;impassable;-1;-1;-1;-1;-1;;Mongolia-Manchu
1750;1041;impassable;-1;-1;-1;-1;-1;;Mongolia-Manchu

#禁止通行区（阿富汗到巴基斯坦）
934;1358;impassable;-1;-1;-1;-1;-1;;Afghanistan
934;2751;impassable;-1;-1;-1;-1;-1;;Afghanistan
1032;2751;impassable;-1;-1;-1;-1;-1;;Afghanistan
1259;367;impassable;-1;-1;-1;-1;-1;;Afghanistan
1259;3730;impassable;-1;-1;-1;-1;-1;;Afghanistan
